"beta","beta_max","density_interfacial","gamma_ig","kappa_liquid","kappa_max_liquid","kappa_max_vapor","kappa_vapor","mu_liquid","mu_vapor","pressure_interfacial","pressure_relaxation_rate","temperature_interfacial","velocity_relaxation_rate","ObjectId","GlobalElementId","PedigreeElementId"
0.000770471,0.072523,792.721,0.00147645,1.17294e-05,34.3921,11.2505,3.51704e-05,1.17542e-05,3.54e-05,7.10271e+06,0.00731785,518.207,8.62887e+07,0,75,75
0.000771733,0.0728702,792.723,0.00147718,9.81815e-06,34.3928,11.2508,3.52636e-05,9.83904e-06,3.5495e-05,7.10261e+06,0.00732423,518.206,8.63618e+07,0,76,76
0.000773931,0.0732178,792.724,0.00147782,8.28994e-06,34.3934,11.2512,3.53219e-05,8.30766e-06,3.55548e-05,7.1025e+06,0.00733022,518.206,8.64304e+07,0,77,77
0.000774978,0.0735658,792.725,0.00147837,6.50796e-06,34.394,11.2516,3.54124e-05,6.52194e-06,3.5647e-05,7.1024e+06,0.00733581,518.205,8.64945e+07,0,78,78
0.000777019,0.073914,792.727,0.00147883,5.13573e-06,34.3945,11.2519,3.54733e-05,5.14681e-06,3.57094e-05,7.1023e+06,0.00734102,518.204,8.65541e+07,0,79,79
0.000777861,0.0742626,792.728,0.00147922,3.46987e-06,34.395,11.2523,3.55587e-05,3.47739e-06,3.57965e-05,7.1022e+06,0.00734585,518.203,8.66094e+07,0,80,80
0.000779758,0.0746114,792.73,0.00147953,2.24387e-06,34.3954,11.2526,3.56254e-05,2.24876e-06,3.58648e-05,7.10209e+06,0.00735031,518.202,8.66605e+07,0,81,81
0.000780406,0.0749604,792.731,0.00147977,6.81895e-07,34.3958,11.253,3.57011e-05,6.83388e-07,3.59421e-05,7.10199e+06,0.0073544,518.201,8.67073e+07,0,82,82
0.000782172,0.0753096,792.732,0.00147995,4.60596e-07,34.3961,11.2534,3.57802e-05,4.61609e-07,3.60229e-05,7.10189e+06,0.00735814,518.2,8.67499e+07,0,83,83
0.000782633,0.075659,792.734,0.00148006,1.9302e-06,34.3965,11.2537,3.58371e-05,1.93446e-06,3.60813e-05,7.10178e+06,0.00736152,518.199,8.67885e+07,0,84,84
0.000784281,0.0760085,792.735,0.00148011,2.88884e-06,34.3967,11.2541,3.59411e-05,2.89525e-06,3.61872e-05,7.10168e+06,0.00736456,518.198,8.68231e+07,0,85,85
0.000784562,0.0763581,792.737,0.0014801,4.27681e-06,34.397,11.2544,3.59619e-05,4.28635e-06,3.62093e-05,7.10157e+06,0.00736726,518.197,8.68538e+07,0,86,86
0.000786105,0.0767078,792.738,0.00148004,5.11229e-06,34.3972,11.2548,3.61149e-05,5.12374e-06,3.63644e-05,7.10147e+06,0.00736962,518.196,8.68806e+07,0,87,87
0.000786211,0.0770576,792.739,0.00147992,6.42885e-06,34.3974,11.2552,3.60663e-05,6.44332e-06,3.63167e-05,7.10136e+06,0.00737166,518.195,8.69036e+07,0,88,88
0.000787664,0.0774074,792.741,0.00147976,7.14703e-06,34.3975,11.2555,3.6314e-05,7.16318e-06,3.65673e-05,7.10126e+06,0.00737337,518.194,8.69229e+07,0,89,89
0.000787596,0.0777572,792.742,0.00147955,8.40181e-06,34.3977,11.2559,3.61332e-05,8.42089e-06,3.63863e-05,7.10115e+06,0.00737478,518.193,8.69386e+07,0,90,90
0.000788978,0.0781069,792.744,0.0014793,9.00778e-06,34.3978,11.2563,3.65621e-05,9.02832e-06,3.68193e-05,7.10104e+06,0.00737588,518.192,8.69507e+07,0,91,91
0.00078873,0.0784567,792.745,0.001479,1.02099e-05,34.3979,11.2566,3.61307e-05,1.02333e-05,3.6386e-05,7.10093e+06,0.00737667,518.191,8.69593e+07,0,92,92
0.000790067,0.0788064,792.746,0.00147867,1.07081e-05,34.3979,11.257,3.69023e-05,1.07327e-05,3.71643e-05,7.10083e+06,0.00737717,518.19,8.69645e+07,0,93,93
0.000789623,0.079156,792.748,0.0014783,1.18661e-05,34.398,11.2573,3.6e-05,1.18935e-05,3.62567e-05,7.10072e+06,0.00737739,518.189,8.69664e+07,0,94,94
0.000790955,0.0795055,792.749,0.0014779,1.22604e-05,34.398,11.2577,3.74143e-05,1.22888e-05,3.76823e-05,7.10061e+06,0.00737732,518.188,8.6965e+07,0,95,95
0.000790279,0.0798549,792.751,0.00147745,1.33823e-05,34.398,11.2581,3.56338e-05,1.34135e-05,3.58902e-05,7.1005e+06,0.00737698,518.187,8.69604e+07,0,96,96
0.000791672,0.0802041,792.752,0.00147699,1.36762e-05,34.398,11.2584,3.82426e-05,1.37083e-05,3.8519e-05,7.10039e+06,0.00737636,518.186,8.69526e+07,0,97,97
0.000790691,0.0805532,792.754,0.00147649,1.47693e-05,34.398,11.2588,3.48379e-05,1.48041e-05,3.50908e-05,7.10028e+06,0.00737549,518.185,8.69418e+07,0,98,98
0.000792259,0.0809022,792.755,0.00147598,1.49664e-05,34.3979,11.2592,3.96481e-05,1.50018e-05,3.99371e-05,7.10017e+06,0.00737436,518.184,8.69279e+07,0,99,99
0.000790766,0.0812509,792.757,0.0014754,1.60368e-05,34.3979,11.2595,3.32622e-05,1.60749e-05,3.35057e-05,7.10006e+06,0.00737297,518.183,8.69112e+07,0,100,100
