"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.41502,1.22221,0.494892,0.125451,0
1.35278,1.22221,0.466546,0.121962,0
1.28762,1.22221,0.466213,0.147164,0
1.32845,1.22221,0.494591,0.150421,0
1.38646,1.22221,0.52297,0.153677,0
1.49525,1.22221,0.523237,0.12894,0
1.68733,1.22221,0.411458,0.0123131,0
1.81152,2.28132,0.43967,0.0167324,0
1.88208,2.28132,0.411859,-0.0133546,0
1.99401,2.28132,0.440037,-0.00870269,0
1.22216,1.22221,0.351763,0.186405,0
1.22214,1.22221,0.351295,0.212538,0
1.2222,1.22221,0.322817,0.209979,0
1.22222,1.22221,0.323317,0.183614,0
1.22211,1.22221,0.294338,0.207421,0
1.2223,1.22221,0.350828,0.238671,0
1.22215,1.22221,0.37934,0.240997,0
1.2222,1.22221,0.378906,0.266897,0
1.22228,1.22221,0.350361,0.264804,0
1.2221,1.22221,0.349893,0.290937,0
1.22226,1.22221,0.378472,0.292797,0
1.22209,1.22221,0.380208,0.189196,0
1.22226,1.22221,0.379774,0.215096,0
1.22217,1.22221,0.408253,0.217655,0
1.22192,1.22221,0.408654,0.191987,0
1.22226,1.22221,0.293269,0.260617,0
1.22214,1.22221,0.321815,0.26271,0
1.22231,1.22221,0.321314,0.289076,0
1.22219,1.22221,0.127137,0.0521012,0
1.22209,1.22221,0.348024,0.395468,0
1.22242,1.22221,0.376736,0.396399,0
1.22227,1.22221,0.376302,0.422299,0
1.22215,1.22221,0.347556,0.421601,0
1.22223,1.22221,0.347089,0.447734,0
1.22212,1.22221,0.375868,0.448199,0
1.22227,1.22221,0.404647,0.448665,0
1.22215,1.22221,0.405048,0.422997,0
1.22245,1.22221,0.319812,0.368172,0
1.22243,1.22221,0.319311,0.394538,0
1.22246,1.22221,0.37717,0.370498,0
1.22241,1.22221,0.377604,0.344598,0
1.22202,1.22221,0.348958,0.343203,0
1.22202,1.22221,0.348491,0.369335,0
1.22235,1.22221,0.068109,0.130035,0
1.22228,1.22221,0.0965211,0.133058,0
1.22216,1.22221,0.318309,0.447269,0
1.22236,1.22221,0.31881,0.420903,0
1.22225,1.22221,0.346154,0.5,0
1.22207,1.22221,0.317308,0.5,0
1.22215,1.22221,0.317808,0.473634,0
1.22221,1.22221,0.346621,0.473867,0
1.22222,1.22221,0.288996,0.473402,0
1.2223,1.22221,0.154046,0.111345,0
1.22225,1.22221,0.153345,0.139106,0
1.22237,1.22221,0.124933,0.136082,0
1.22217,1.22221,0.375434,0.4741,0
1.22215,1.22221,0.375,0.5,0
1.22225,1.22221,0.403846,0.5,0
1.22224,1.22221,0.404247,0.474332,0
1.22215,1.22221,0.322316,0.236345,0
1.22234,1.22221,0.320312,0.341807,0
1.22212,1.22221,0.349426,0.31707,0
1.2223,1.22221,0.320813,0.315441,0
1.2225,1.22221,0.296474,0.101028,0
